"|","|__acc","|__gyro"
"13:27:05 122228","","1.1356426234897299"
"13:27:05 125189","98.38355711244822",""
"13:27:05 690168","98.14866303067629",""
"13:27:05 765972","","7.093182356476973"
"13:27:06 646359","97.33813855545122",""
"13:27:06 683259","","35.591695446320955"
"13:27:07 569483","99.98695245917497",""
"13:27:07 595607","","27.24790025686616"
"13:27:08 592556","97.98011968173705",""
"13:27:08 609512","","0.18157285849247273"
"13:27:09 620408","98.79609562794758",""
"13:27:09 653689","","0.7287585505182506"
"13:27:10 639591","98.23846664872053",""
"13:27:10 675056","","4.539121743401665"
"13:27:11 562080","127.68244615481854",""
"13:27:11 616607","","859.3034431444075"
"13:27:12 584889","1099.3171875177004",""
"13:27:12 638711","","247679.1736999007"
"13:27:13 428670","1036.4714359474756",""
"13:27:13 570224","","165031.239109611"
"13:27:14 547960","","9942.993236580769"
"13:27:14 550950","111.49056708694297",""
"13:27:15 455626","90.0235524656",""
"13:27:15 478627","","38.1771855185043"
"13:27:16 480032","94.79368361211345",""
"13:27:16 510274","","3.6839349074552956"
"13:27:17 507956","93.10398007653748",""
"13:27:17 572864","","396.8503026915005"
"13:27:18 410351","93.87783618404956",""
"13:27:18 731812","","2.2242388636777832"
"13:27:19 392568","90.386054115359",""
"13:27:19 979525","","376.2677387208714"
"13:27:20 421411","97.22232407162483",""
"13:27:20 955581","","600.3497698139263"
