"|","|__acc","|__gyro"
"01:17:08 922247","","902.4981665100513"
"01:17:09 214465","84.69324877545023",""
"01:17:09 867784","","1288.909161198193"
"01:17:10 276736","93.98878485989553",""
"01:17:11 058704","","32.162975202767484"
"01:17:11 149085","120.17121321324976",""
"01:17:11 587954","140.28430639895396",""
"01:17:11 686432","","3334.013405826656"
"01:17:12 643727","85.03456678105613",""
"01:17:12 713441","","30523.697677315664"
"01:17:13 545917","","4475.740599688627"
"01:17:13 614734","113.22463543345111",""
"01:17:14 640979","","3791.462587467562"
"01:17:14 675906","92.69535533054841",""
"01:17:15 560285","","248.73480088434007"
"01:17:15 598191","72.39624292464305",""
"01:17:16 588148","","39.85193544070353"
"01:17:16 603119","92.83121511830268",""
"01:17:17 505582","","384.33833741796116"
"01:17:17 595508","88.31977378486226",""
"01:17:18 551483","","2780.720622813242"
"01:17:18 670319","87.76528746826989",""
"01:17:19 555853","66.86519835931722",""
"01:17:19 619731","","7575.059973663375"
"01:17:20 508522","87.63978718616727",""
"01:17:20 580330","","4044.8704559592516"
"01:17:21 503195","","17647.30732807146"
"01:17:21 522143","100.20038889245461",""
"01:17:22 471084","","564.658738174182"
"01:17:22 574330","101.5022004694456",""
"01:17:23 460468","","19268.39789934877"
"01:17:23 531726","87.57379115071308",""
"01:17:24 473786","","283.39425617663983"
"01:17:24 503776","97.5893665057547",""
"01:17:25 409807","","1162.2431273696784"
"01:17:25 479301","82.57587303800392",""
"01:17:26 526996","","3547.256608890916"
"01:17:26 629185","111.45868835999954",""
"01:17:27 441849","72.78865730741836",""
"01:17:27 484614","","692.4644336698557"
"01:17:28 316302","","23894.526275532484"
"01:17:28 392097","80.83380687608314",""
"01:17:29 383301","","1717.7877439509757"
"01:17:29 404002","116.18205238259634",""
"01:17:30 364965","","544.3206842272775"
"01:17:30 450401","73.26842901104283",""
"01:17:31 333043","","2549.7679801461936"
"01:17:31 391889","117.65834049755813",""
"01:17:32 354500","","621.4335035268932"
"01:17:32 374031","97.86517473528329",""
"01:17:33 377658","","18826.739930014977"
"01:17:33 420538","86.99430918228427",""
"01:17:34 401185","103.49451389898059",""
"01:17:34 467093","","4362.668808164385"
"01:17:35 222999","","1487.1974423141364"
"01:17:35 262780","96.47215175855126",""
"01:17:36 349236","","8570.55594851021"
"01:17:36 350183","136.31251800514747",""
"01:17:37 182414","","1430.2040597907035"
"01:17:37 255367","108.18687475433399",""
"01:17:38 301929","","4943.5551917240855"
"01:17:38 407254","124.88430114052153",""
"01:17:39 325715","","1281.4412253765913"
"01:17:39 728637","76.5009135435912",""
"01:17:40 272788","","24.118654048843382"
"01:17:40 723471","88.18089557512303",""
"01:17:41 363735","114.41428250966146",""
"01:17:41 566719","","2476.9357281867124"
"01:17:42 293684","","5110.001268469878"
"01:17:42 525068","112.31140309271905",""
"01:17:43 314193","","7049.351317112371"
"01:17:43 728301","144.698640720786",""
"01:17:44 128826","","12.650936845185242"
"01:17:44 563527","86.52616490181117",""
"01:17:45 120881","","20469.000339199025"
"01:17:45 563371","138.32582378454754",""
"01:17:46 459040","","355.9868845943947"
"01:17:46 673114","115.5833024146923",""
"01:17:47 134045","","48582.48069761784"
"01:17:47 409609","100.62130870280907",""
"01:17:48 096567","74.60827000448899",""
"01:17:48 687817","","2002.4149153261615"
"01:17:49 132698","125.12424272481258",""
"01:17:49 548590","","21178.237484221194"
"01:17:50 261075","","26.41721457397398"
"01:17:50 756347","99.00259429647303",""
"01:17:51 121482","","1664.732755175748"
"01:17:51 707710","90.2737265029109",""
"01:17:52 154417","","54.047338597942144"
"01:17:52 324083","83.79620992229411",""
"01:17:52 950543","","5769.427142998222"
"01:17:53 277959","93.80184397271296",""
"01:17:54 166635","","8629.287366371896"
"01:17:54 521031","96.57026051169032",""
"01:17:55 226124","","4126.496134239127"
"01:17:55 685375","139.4927432506165",""
"01:17:56 522631","118.28733017120521",""
"01:17:56 954497","","17590.677879746392"
"01:17:57 195554","93.94934303535956",""
"01:17:57 822005","","21021.188501108965"
"01:17:58 245362","","10546.31203123122"
"01:17:58 448824","97.11914688096749",""
"01:17:59 083658","","720.7930891426968"
