"|","|__acc","|__acc-x","|__acc-y","|__acc-z","|__gyro","|__gyro-x","|__gyro-y","|__gyro-z"
"14:34:57 078716","","","","","0.000256457236901042","0.009587287902832031","-0.009587287902832031","-0.00852203369140625"
"14:34:57 277889","98.12398081725951","2.0231618881225586","3.527963638305664","9.032401084899902","","","",""
"14:34:57 462395","","","","","0.000196314610548143","0.010652542114257812","0.0031957626342773438","0.00852203369140625"
"14:34:58 396819","97.55278634777733","1.9549245834350586","3.403461456298828","9.063526153564453","","","",""
"14:34:59 436183","","","","","7.60293578423443E-05","0.007456779479980469","-0.0031957626342773438","-0.0031957626342773438"
"14:34:59 453138","96.93984689804074","1.941756248474121","3.2538185119628906","9.087469100952148","","","",""
"14:34:59 474120","97.53024942064258","1.9321794509887695","3.374730110168457","9.077892303466797","","","",""
"14:34:59 492034","","","","","0.000430076516749978","-0.020239830017089844","0.0031957626342773438","0.0031957626342773438"
"14:35:00 229553","97.23584196032061","1.8735198974609375","3.278958320617676","9.109017372131348","","","",""
"14:35:00 297337","","","","","0.000100994221611472","0","-0.005326271057128906","0.00852203369140625"
"14:35:01 218340","100.31289704838673","1.7765512466430664","3.142484664916992","9.342459678649902","","","",""
"14:35:01 301118","","","","","0.0019484611912048422","-0.03515434265136719","0.012783050537109375","-0.023435592651367188"
"14:35:02 112860","","","","","0.000596887197389151","-0.022370338439941406","0.009587287902832031","-0.0021305084228515625"
"14:35:02 201946","97.97660006955448","1.7921142578125","3.2095251083374023","9.190423011779785","","","",""
"14:35:03 011024","","","","","0.000605965329668834","0.023435592651367188","-0.0010652542114257812","0.007456779479980469"
"14:35:03 079852","97.01411164625915","1.7789459228515625","3.148470878601074","9.161691665649414","","","",""
"14:35:03 999457","","","","","0.000296174065624655","0.007456779479980469","-0.004261016845703125","0.014913558959960938"
"14:35:04 151780","97.57970122192","1.7873258590698242","3.0862197875976562","9.211971282958984","","","",""
"14:35:05 014203","98.17366904850678","1.8268308639526367","3.247833251953125","9.180846214294434","","","",""
"14:35:05 102972","","","","","2.38300972341676E-05","-0.004261016845703125","-0.0010652542114257812","-0.0021305084228515625"
"14:35:06 136977","96.98742027665594","1.822042465209961","3.246636390686035","9.11739730834961","","","",""
"14:35:06 268594","","","","","0.00037560772307188","-0.01597881317138672","-0.009587287902832031","0.005326271057128906"
"14:35:07 079200","97.35920002776857","1.7645797729492188","3.0562915802001953","9.21436595916748","","","",""
"14:35:07 159974","","","","","8.85117897269083E-05","0.0021305084228515625","0.007456779479980469","0.005326271057128906"
"14:35:08 061875","97.35587151852178","1.7729597091674805","3.1293163299560547","9.188028335571289","","","",""
"14:35:08 144691","","","","","2.83691633740091E-05","0.0031957626342773438","-0.004261016845703125","0"
"14:35:09 026590","98.9991470007999","1.737046241760254","3.1329078674316406","9.282602310180664","","","",""
"14:35:09 112322","","","","","0.000947576789258164","0.009587287902832031","0.01597881317138672","-0.024501800537109375"
"14:35:09 984955","","","","","6.46816924927407E-05","0.005326271057128906","0.004261016845703125","0.004261016845703125"
"14:35:10 049780","98.16978836311591","1.7394399642944336","3.080233573913574","9.2550687789917","","","",""
"14:35:11 060359","","","","","0.00040624641951581","0.019174575805664062","0.0031957626342773438","-0.005326271057128906"
"14:35:11 219011","97.56911538361055","1.786128044128418","3.0383338928222656","9.227534294128418","","","",""
"14:35:12 086405","97.90171412077416","1.8052825927734375","3.0850229263305664","9.226337432861328","","","",""
"14:35:12 176165","","","","","0.000169080213709094","0.012783050537109375","0.0021305084228515625","-0.0010652542114257812"
"14:35:12 978110","97.69237480159973","1.756199836730957","3.122134208679199","9.211971282958984","","","",""
"14:35:13 031005","","","","","0.000148654416079808","-0.011717796325683594","-0.0010652542114257812","0.0031957626342773438"
"14:35:14 010349","97.5049448068221","1.7538061141967773","3.0682621002197266","9.220351219177246","","","",""
"14:35:14 089140","","","","","0.000103263754681393","0.009587287902832031","-0.0010652542114257812","0.0031957626342773438"
"14:35:15 058163","96.61676525818439","1.7681713104248047","3.03354549407959","9.180846214294434","","","",""
"14:35:15 120994","","","","","0.000310926030579139","-0.007456779479980469","-0.012783050537109375","0.009587287902832031"
"14:35:16 037203","97.12635045022216","1.7538061141967773","3.0096025466918945","9.219154357910156","","","",""
"14:35:16 066125","","","","","0.000165675914104213","-0.011717796325683594","0","-0.005326271057128906"
"14:35:16 877427","","","","","2.95039299089694E-05","0.005326271057128906","0","-0.0010652542114257812"
"14:35:16 937266","98.2106094806677","1.7310600280761719","3.029953956604004","9.275420188903809","","","",""
"14:35:17 794131","","","","","2.26953306992073E-06","0","0.0010652542114257812","0.0010652542114257812"
"14:35:17 895861","98.02298722396972","1.7753543853759766","3.0862197875976562","9.238308906555176","","","",""
"14:35:18 885888","","","","","0.000451637080914225","-0.019174575805664062","0.005326271057128906","0.007456779479980469"
"14:35:18 996592","96.97612144930645","1.7765512466430664","2.9784774780273438","9.21675968170166","","","",""
"14:35:19 837000","97.01121365072049","1.7741575241088867","3.051502227783203","9.195211410522461","","","",""
"14:35:19 901827","","","","","0.000506105874592322","0.011717796325683594","-0.01810932159423828","0.0063915252685546875"
"14:35:20 912959","96.8282404762449","1.7573966979980469","2.942563056945801","9.223942756652832","","","",""
"14:35:20 998729","","","","","0.000291634999484813","-0.005326271057128906","-0.014913558959960938","0.0063915252685546875"
"14:35:21 951788","96.3803447467044","1.7573966979980469","2.8922834396362305","9.21556282043457","","","",""
"14:35:22 091674","","","","","0.000323408462463703","-0.014913558959960938","-0.005326271057128906","0.00852203369140625"
"14:35:22 881673","93.30788082041272","1.6305007934570312","2.754612922668457","9.113805770874023","","","",""
"14:35:22 962457","","","","","6.12773928878596E-05","-0.0010652542114257812","0.007456779479980469","0.0021305084228515625"
"14:35:24 086931","96.43299952164762","1.6496543884277344","2.937774658203125","9.223942756652832","","","",""
"14:35:24 187785","","","","","5.21992606081767E-05","-0.0010652542114257812","0.0031957626342773438","-0.0063915252685546875"
"14:35:24 810914","","","","","0.000546957469850895","-0.005326271057128906","0.022370338439941406","-0.004261016845703125"
"14:35:24 878774","98.54392968735374","1.7430315017700195","2.8910865783691406","9.33527660369873","","","",""
"14:35:25 832533","","","","","4.76601944683352E-05","0.0010652542114257812","0.005326271057128906","0.004261016845703125"
"14:35:26 247061","98.39069502502934","1.7190885543823242","2.8515806198120117","9.343656539916992","","","",""
"14:35:27 002030","","","","","1.2482431884564E-05","0.0031957626342773438","-0.0010652542114257812","0.0010652542114257812"
"14:35:27 414152","97.91056760038737","1.7406368255615234","2.8048925399780273","9.328093528747559","","","",""
"14:35:27 759936","97.53074180885415","1.7286663055419922","2.8240461349487305","9.304150581359863","","","",""
"14:35:28 187029","","","","","8.17031905171461E-05","0.0021305084228515625","0.0021305084228515625","-0.00852203369140625"
"14:35:28 737514","97.7155134223849","1.6484575271606445","2.8336238861083984","9.325699806213379","","","",""
"14:35:29 030729","","","","","9.53203889366705E-05","-0.00852203369140625","0.004261016845703125","0.0021305084228515625"
"14:35:29 758031","98.1843960710039","1.701131820678711","2.873128890991211","9.329291343688965","","","",""
"14:35:30 028309","","","","","0.000423267917540215","0.01597881317138672","0.0021305084228515625","0.012783050537109375"
"14:35:30 722324","96.34080275839187","1.7202863693237305","2.759401321411133","9.261054039001465","","","",""
"14:35:31 049712","","","","","0.00021787517471239","-0.00852203369140625","-0.00852203369140625","0.00852203369140625"
"14:35:31 665604","","","","","0.0010928309693554183","-0.007456779479980469","-0.01810932159423828","-0.026632308959960938"
"14:35:31 919860","108.73564514018744","1.7286663055419922","4.721508979797363","9.135354995727539","","","",""
"14:35:32 909798","","","","","0.0004380198824947","-0.004261016845703125","-0.01810932159423828","-0.009587287902832031"
"14:35:33 105604","99.28093324201473","1.9668960571289062","3.77337646484375","9.009654998779297","","","",""
"14:35:33 865016","","","","","0.013811084017106623","-0.08522319793701172","0.0287628173828125","-0.07563591003417969"
"14:35:34 333763","94.36514325688495","2.134495735168457","3.780559539794922","8.690019607543945","","","",""
"14:35:35 523511","","","","","0.002712274885197985","-0.020239830017089844","0.0021305084228515625","0.04793834686279297"
"14:35:36 166992","96.17319149615105","2.10097599029541","3.9146385192871094","8.742693901062012","","","",""
"14:35:36 573905","98.81257789328265","2.4876508712768555","4.245048522949219","8.637345314025879","","","",""
"14:35:36 887696","","","","","0.023620706932888424","0.12677001953125","-0.05646038055419922","0.06604766845703125"
"14:35:37 299996","100.331794341766","2.383500099182129","4.340819358825684","8.706779479980469","","","",""
"14:35:37 905911","","","","","0.8365492986167737","-0.07030868530273438","-0.007456779479980469","-0.9118938446044922"
"14:35:38 188724","","","","","0.0014173884210322285","-0.012783050537109375","-0.034089088439941406","0.009587287902832031"
"14:35:38 570701","95.44397762822882","2.1105527877807617","3.4178266525268555","8.90550422668457","","","",""
"14:35:39 147123","","","","","0.005825079686474055","0.06604766845703125","-0.00852203369140625","-0.03728485107421875"
"14:35:39 593053","98.49404218103336","1.8974618911743164","3.8296422958374023","8.956981658935547","","","",""
"14:35:40 292116","","","","","0.16278464807874116","-0.23969173431396484","-0.021305084228515625","-0.3238496780395508"
"14:35:40 709520","93.49770765406356","1.7478199005126953","4.315679550170898","8.47453498840332","","","",""
"14:36:01 973034","97.15419511193068","2.014781951904297","4.297722816467285","8.638543128967285","","","",""
"14:36:01 977025","","","","","0.000548092236385855","-0.01810932159423828","0.013848304748535156","0.005326271057128906"
"14:36:02 045839","97.80446371514154","2.005204200744629","0.8798952102661133","9.64413833618164","","","",""
"14:36:03 991211","","","","","0.000110072353891155","-0.005326271057128906","-0.0063915252685546875","-0.0063915252685546875"
