|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
21:43:27 034748,-3,3.5,8.1,0.8,-1.8,-1.6,83,9.319871244,2.537715508,1.034408043,0,0
21:43:27 496995,-3.5,4.4,8,0.8,-1.8,-1.6,83,9.778036613,2.537715508,8.023091673,4.223742416,0
21:43:28 160935,-4.9,-3.5,8,-2.6,0.4,-0.4,83,10.01299156,2.660826939,0.866025404,2.677685568,0
21:43:28 639604,-5,-4,7.3,0,0,0.1,83,9.710303806,0.1,0.374165739,0,0
21:43:29 185246,-5.3,-3.8,7.4,0,0,0.1,82,9.863569334,0.1,0.6164414,0.244948974,0
21:43:29 801013,-5,-4.3,7.2,-0.1,0.1,-0.1,82,9.763708312,0.173205081,3.494281042,0,0
21:43:30 311884,-8.1,-2.9,8,-0.1,0.1,-0.1,82,11.74819135,0.173205081,26.05110362,1.96468827,0
21:43:30 800494,16.6,-9,13.6,-2,0.5,-0.4,82,23.27058229,2.1,26.03958525,0,1
21:43:31 303830,-7.2,-5.9,3.5,-2,0.5,-0.4,83,9.944847912,2.1,0.583095189,2.083266666,0
21:43:31 836281,-6.7,-6.2,3.5,0,0,-0.1,83,9.776502442,0.1,1.144552314,0,0
21:43:32 358397,-6.8,-7.3,3.8,0,0,-0.1,83,10.67567328,0.1,1.15758369,0.173205081,0
21:43:33 075689,-6.6,-6.2,3.5,-0.1,-0.1,0,83,9.708243919,0.141421356,0.141421356,0.282842712,0
21:43:33 459571,-6.6,-6.3,3.6,0.1,0.1,0,83,9.808669635,0.141421356,1.009950494,0,0
21:43:34 202623,-5.9,-7,3.8,0.1,0.1,0,83,9.912113801,0.141421356,0.469041576,0.360555128,0
21:43:34 447175,-6.2,-6.7,3.6,-0.2,-0.1,0,83,9.812746812,0.223606798,0.374165739,0,0
21:43:35 225773,-6.3,-6.5,3.3,-0.2,-0.1,0,84,9.63483264,0.223606798,23.21831174,4.119465985,0
21:43:35 773446,13,6.1,6.1,2,-2.8,2.2,84,15.60192296,4.084115571,24.79536247,0,1
21:43:36 353768,-7.4,-7,0.9,2,-2.8,2.2,84,10.22594739,4.084115571,0.781024968,4.045985665,0
21:43:36 967096,-6.9,-7,1.5,0.2,0,-0.1,84,9.942836617,0.223606798,0.412310563,0,0
21:43:37 281154,-6.7,-6.8,1.8,0.2,0,-0.1,84,9.714422268,0.223606798,0.360555128,0.223606798,0
21:43:37 936170,-6.7,-7,2.1,0,0,0,84,9.914635646,0,0.360555128,0,0
21:43:38 417052,-6.7,-6.8,1.8,0,0,0,84,9.714422268,0,0.141421356,0.1,0
21:43:39 104083,-6.8,-6.8,1.7,-0.1,0,0,84,9.765756499,0.1,0.141421356,0.244948974,0
21:43:39 631309,-6.8,-6.9,1.8,0.1,0.1,-0.1,84,9.8534258,0.173205081,0.360555128,0,0
21:43:40 041801,-6.5,-6.7,1.8,0.1,0.1,-0.1,84,9.506839643,0.173205081,13.26838347,0.173205081,0
21:43:40 755358,-19.2,-4.3,4.8,0,0,0,84,20.25265415,0,10.67192579,0,1
21:43:41 154910,-8.6,-4.6,3.6,0,0,0,84,10.39615313,0,2.601922366,0.316227766,0
21:43:41 720448,-7.1,-6.2,2.2,-0.3,0,-0.1,84,9.679359483,0.316227766,2.19317122,0,0
21:43:42 396368,-7.1,-5.3,4.2,-0.3,0,-0.1,84,9.805100713,0.316227766,4.438468204,2.519920634,0
21:43:42 907993,-7.4,-1.3,6.1,2.2,-0.1,0.2,84,9.67780967,2.211334439,1.920937271,0,0
21:43:43 283709,-7.2,-3.2,5.9,2.2,-0.1,0.2,84,9.843271814,2.211334439,0.894427191,2.42693222,0
21:43:44 236532,-7.2,-4,5.5,-0.2,0.1,-0.1,84,9.90403958,0.244948974,0.173205081,0.244948974,0
21:43:44 547014,-7.1,-3.9,5.4,0,0,0,84,9.735502041,0,0.781024968,0,0
21:43:45 065654,-6.7,-4.2,6,0,0,0,84,9.926227884,0,19.68197145,6.751296172,0
21:43:45 628704,11.6,2.3,9.2,3.3,-4.5,-3.8,84,14.98299036,6.751296172,23.89539705,0,1
21:43:46 166213,-11.1,-3.8,4.9,3.3,-4.5,-3.8,84,12.71455858,6.751296172,5.250714237,6.745368782,0
21:43:46 592003,-6.4,-6,4.1,-0.1,0,-0.1,84,9.683491106,0.141421356,0.447213595,0,0
21:43:47 311535,-6.2,-6.4,4.1,-0.1,0,-0.1,84,9.808669635,0.141421356,0.173205081,0.141421356,0
21:43:47 726260,-6.3,-6.5,4,0,0,0,84,9.896464015,0,0.6164414,0,0
21:43:48 321607,-6,-6.3,4.5,0,0,0,84,9.79489663,0,0.282842712,0,0
21:43:49 151848,-6.2,-6.5,4.5,0,0,0,84,10.04689007,0,0.787400787,0.173205081,0
21:43:49 296287,-6,-5.8,4.2,-0.1,-0.1,0.1,84,9.342376571,0.173205081,0.860232527,0,0
21:43:50 074225,-5.9,-6.1,5,-0.1,-0.1,0.1,84,9.849873096,0.173205081,0.223606798,0.1,0
21:43:50 380968,-5.7,-6.1,4.9,-0.1,-0.1,0,84,9.680392554,0.141421356,31.2867384,0,0
21:43:51 098062,15.2,11,20.7,-0.1,-0.1,0,84,27.937967,0.141421356,28.12578888,5.852349955,1
21:43:51 616097,-8.4,-1.3,11.6,-5.1,-0.6,3,84,14.3808901,5.94726828,8.267405881,0,0
21:43:52 225874,-6.9,-5.6,4.7,-5.1,-0.6,3,84,10.05286029,5.94726828,0.244948974,5.94726828,0
21:43:52 705715,-6.7,-5.5,4.6,0,0,0,84,9.81325634,0,0.374165739,0,0
21:43:53 454734,-6.9,-5.4,4.3,0,0,0,84,9.76012295,0,0.223606798,0,0
21:43:53 966183,-6.9,-5.6,4.4,0,0,0,84,9.916148446,0,0.447213595,0.173205081,0
21:43:54 272186,-7.1,-5.6,4,-0.1,0.1,-0.1,84,9.887871358,0.173205081,0.830662386,0,0
21:43:54 912690,-7.2,-5.8,3.2,-0.1,0.1,-0.1,84,9.783659847,0.173205081,12.3,5.024937811,0
21:43:55 636204,3.1,0,6.6,-1.1,-2.3,4.2,84,7.29177619,4.913247399,12.34058345,0,1
21:43:56 131120,-7.1,-6,3.1,-1.1,-2.3,4.2,84,9.798979539,4.913247399,0.818535277,5.040833264,0
21:43:56 629757,-7.4,-6.3,2.4,0,-0.1,-0.2,84,10.01049449,0.223606798,0.412310563,0,0
21:43:57 446921,-7,-6.2,2.4,0,-0.1,-0.2,84,9.654014709,0.223606798,0.244948974,0.223606798,0
