"|","|__gyro","|__gyro-x","|__gyro-y","|__gyro-z","|__acc","|__acc-x","|__acc-y","|__acc-z"
"20:10:51 890335","","","","","105.98584657155516","-0.48484039306640625","2.2973060607910156","10.023630142211914"
"20:10:51 892335","0.2215713321356816","0","0.2886953353881836","0.37178802490234375","","","",""
"20:10:52 708449","0.0010190670809606672","-0.024501800537109375","-0.01597881317138672","0.012783050537109375","","","",""
"20:10:52 710414","","","","","94.58141985445764","-4.218711853027344","-8.454183578491211","2.3044891357421875"
"20:10:53 628160","","","","","96.86626901390719","-4.27377986907959","-8.537982940673828","2.3882884979248047"
"20:10:53 679406","0.000368799123862118","0.01597881317138672","-0.010652542114257812","0","","","",""
"20:10:54 755946","","","","","95.47074489627084","-4.233077049255371","-8.502069473266602","2.2949113845825195"
"20:10:54 969818","0.000255322470366082","-0.012783050537109375","0.009587287902832031","0","","","",""
"20:10:55 677205","","","","","96.02552692166773","-4.247443199157715","-8.516434669494629","2.3356142044067383"
"20:10:55 859444","0.00034269949355803","0.011717796325683594","0.010652542114257812","0.009587287902832031","","","",""
"20:10:56 598806","","","","","103.01991447108321","-4.20314884185791","-8.912687301635742","2.4325828552246094"
"20:10:56 658236","0.036808834601288254","0.15233707427978516","0.07350540161132812","0.09054946899414062","","","",""
"20:10:57 726240","","","","","59.28028165236992","0.5470914840698242","0.5111770629882812","7.662876129150391"
"20:10:58 041184","51.838818270614865","-7.072505950927734","0.5795211791992188","1.2176342010498047","","","",""
"20:10:58 619405","","","","","98.38931468365081","-4.224697113037109","-8.971346855163574","0.23703289031982422"
"20:10:58 935060","1.5768261034518218","-1.251723289489746","0.08841896057128906","0.04687213897705078","","","",""
"20:10:59 485429","","","","","99.66363172482124","-5.127338409423828","-8.527209281921387","0.8128557205200195"
"20:10:59 873558","0.012834064255002886","-0.0980072021484375","-0.04900360107421875","0.0287628173828125","","","",""
"20:11:00 645525","","","","","95.69584357577696","-4.915445327758789","-8.457775115966797","0.016759872436523438"
"20:11:01 066108","0.000432346049819898","-0.010652542114257812","0.005326271057128906","-0.0170440673828125","","","",""
"20:11:01 441739","","","","","97.93578811608131","-4.984879493713379","-8.548757553100586","0.07422161102294922"
"20:11:01 810187","0.001187028782624111","-0.033023834228515625","-0.007456779479980469","0.0063915252685546875","","","",""
"20:11:02 742499","","","","","97.27231255754123","-4.884320259094238","-8.567911148071289","-0.0814046859741211"
"20:11:02 858497","0.000128228618450521","0","-0.00852203369140625","0.007456779479980469","","","",""
"20:11:03 562142","","","","","96.60792072567074","-4.898685455322266","-8.520026206970215","-0.14126205444335938"
"20:11:03 880820","0.000132767684590362","-0.009587287902832031","0","0.0063915252685546875","","","",""
"20:11:04 831160","","","","","97.01774246153491","-4.643694877624512","-8.670865058898926","-0.519556999206543"
"20:11:04 927577","0.02343590863438294","-0.005326271057128906","0.052199363708496094","-0.1438150405883789","","","",""
"20:11:05 506587","","","","","94.24829345354192","-4.617358207702637","-8.534391403198242","-0.30407238006591797"
"20:11:05 650904","0.17244068738909846","-0.37817955017089844","0.10120296478271484","-0.1384878158569336","","","",""
"20:11:06 631505","","","","","99.38777791943085","-5.58344841003418","-8.259050369262695","-0.03112506866455078"
"20:11:06 693874","0.15770978520777135","-0.0628519058227539","-0.2897605895996094","-0.2641935348510742","","","",""
"20:11:07 554800","","","","","100.14437408566118","-0.705113410949707","1.9249963760375977","9.794977188110352"
"20:11:07 653272","0.7671829900473313","-0.7467727661132812","0.2812376022338867","0.36113548278808594","","","",""
"20:11:08 575679","","","","","90.13975759059213","-5.136916160583496","-7.792166709899902","-1.7418346405029297"
"20:11:08 953246","0.347062258945698","0.48790550231933594","-0.3291759490966797","0.025567054748535156","","","",""
"20:11:09 351294","","","","","95.98708740929305","-3.1772022247314453","-9.099440574645996","-1.7585945129394531"
"20:11:09 605634","0.008140196443491732","0.061786651611328125","-0.05859088897705078","-0.02982807159423828","","","",""
"20:11:10 320419","","","","","92.91034028598642","-3.492049217224121","-8.826493263244629","-1.6759920120239258"
"20:11:10 796458","0.013755419500739663","-0.031958580017089844","0.014913558959960938","-0.11185550689697266","","","",""
"20:11:11 391695","","","","","89.77655633723316","-3.299309730529785","-8.745087623596191","-1.5538835525512695"
"20:11:11 545045","0.0627278663969264","-0.020239830017089844","-0.03515434265136719","0.2471485137939453","","","",""
"20:11:12 341526","","","","","96.58529778857883","-3.4776830673217773","-9.039584159851074","-1.6664142608642578"
"20:11:12 878327","0.0035190613807571935","-0.020239830017089844","-0.040480613708496094","-0.03835010528564453","","","",""
"20:11:13 391389","","","","","94.34994467278557","-3.3591670989990234","-8.958178520202637","-1.6783857345581055"
"20:11:13 531895","0.0011280087319391896","-0.026632308959960938","0.012783050537109375","-0.01597881317138672","","","",""
"20:11:14 313476","","","","","93.52411246127485","-3.255016326904297","-8.941418647766113","-1.726271629333496"
"20:11:14 487353","0.000575326633224904","-0.020239830017089844","0.011717796325683594","0.005326271057128906","","","",""
"20:11:15 314275","","","","","94.12417788448693","-3.3280410766601562","-8.99528980255127","-1.4605073928833008"
"20:11:15 645606","0.033847899549982685","-0.16512012481689453","-0.0809621810913086","0.005326271057128906","","","",""
"20:11:16 361839","","","","","93.95681959178182","-3.4094467163085938","-8.901912689208984","-1.7573966979980469"
"20:11:16 556841","0.000111207120426116","0.004261016845703125","0.009587287902832031","0.0010652542114257812","","","",""
"20:11:17 383698","","","","","1268.7139772991004","33.95680236816406","-8.820508003234863","6.152088165283203"
"20:11:17 889763","24.66751688401655","4.576515197753906","-0.6540918350219727","1.8152656555175781","","","",""
